"transaction_description","category","country","currency"
"Homeless Shelter #2519","Charity & Donations","AUSTRALIA","AUD"
"Legal #6395 Online TXN959700","Government & Legal","INDIA","INR"
"Audubon Society - AUSTRALIA","Charity & Donations","AUSTRALIA","AUD"
"Fundraising Store - Weekend","Charity & Donations","UK","GBP"
"Gym #6024 Online - Rush Hour","Entertainment & Recreation","UK","GBP"
"Chick-fil-A Store","Food & Dining","AUSTRALIA","AUD"
"Costco #3841","Shopping & Retail","INDIA","INR"
"Fitness Store Online TXN178360","Entertainment & Recreation","USA","USD"
"Reimbursement","Income","AUSTRALIA","AUD"
"Big Lots Online - Evening","Shopping & Retail","UK","GBP"
"Trampoline Park","Entertainment & Recreation","CANADA","CAD"
"Bookkeeping #7106 Center","Financial Services","UK","GBP"
"Water Park","Entertainment & Recreation","USA","USD"
"Checkers #9832 Store","Food & Dining","UK","GBP"
"PNC Bank Online Strip Mall","Financial Services","AUSTRALIA","AUD"
"WOW Online","Utilities & Services","USA","USD"
"BMO Harris","Financial Services","USA","USD"
"Cable Company Branch","Utilities & Services","AUSTRALIA","AUD"
"City Hall - Night","Government & Legal","AUSTRALIA","AUD"
"World Vision - Lunch Time","Charity & Donations","CANADA","CAD"
"Tax #9446","Government & Legal","UK","GBP"
"Audubon Society","Charity & Donations","AUSTRALIA","AUD"
"Anytime Fitness (Cash)","Entertainment & Recreation","CANADA","CAD"
"State Police #3399","Government & Legal","CANADA","CAD"
"Carnival","Entertainment & Recreation","USA","USD"
"Rite Aid #4550","Shopping & Retail","UK","GBP"
"Museum #6693 - Holiday","Entertainment & Recreation","INDIA","INR"
"US Bank Online TXN703702","Financial Services","CANADA","CAD"
"Mobile #8835","Utilities & Services","INDIA","INR"
"TD Bank #5960","Financial Services","CANADA","CAD"
"Contract Work Store Branch","Income","INDIA","INR"
"Carnival Online TXN950875","Entertainment & Recreation","CANADA","CAD"
"Amazon Prime - INDIA","Entertainment & Recreation","INDIA","INR"
"Court #3137","Government & Legal","UK","GBP"
"Comerica #7803 (Cash)","Financial Services","CANADA","CAD"
"Animal Shelter (Contactless)","Charity & Donations","CANADA","CAD"
"Greenpeace - CANADA Store","Charity & Donations","CANADA","CAD"
"Carl's Jr Store","Food & Dining","CANADA","CAD"
"Subway","Food & Dining","USA","USD"
"Children's Hospital - Evening","Healthcare & Medical","AUSTRALIA","AUD"
"Kroger Pharmacy (ACH)","Healthcare & Medical","USA","USD"
"Gold's Gym","Entertainment & Recreation","CANADA","CAD"
"Orange Theory Online","Entertainment & Recreation","USA","USD"
"Arby's","Food & Dining","CANADA","CAD"
"WOW TXN625340","Utilities & Services","CANADA","CAD"
"Temple Online","Charity & Donations","UK","GBP"
"Children's Hospital #3213","Healthcare & Medical","INDIA","INR"
"Bank of America #8628","Financial Services","CANADA","CAD"
"Financial Advisor - USA Online Branch TXN797432","Financial Services","USA","USD"
"Cable Internet Center Downtown","Utilities & Services","AUSTRALIA","AUD"
"Rite Aid - USA","Healthcare & Medical","USA","USD"
"Temple #7291 Hospital","Charity & Donations","UK","GBP"
"Online Bank Store Center - Weekend","Financial Services","INDIA","INR"
"Credit","Income","USA","USD"
"CenturyLink - USA Station","Utilities & Services","USA","USD"
"Maven #6576","Transportation","AUSTRALIA","AUD"
"KeyBank - CANADA","Financial Services","CANADA","CAD"
"In-N-Out","Food & Dining","INDIA","INR"
"Dairy Queen","Food & Dining","AUSTRALIA","AUD"
"Phone Company","Utilities & Services","INDIA","INR"
"Town Hall","Government & Legal","AUSTRALIA","AUD"
"SEPTA","Transportation","CANADA","CAD"
"OfficeMax #2839","Shopping & Retail","AUSTRALIA","AUD"
"Sheriff #7252 - Dinner Time","Government & Legal","AUSTRALIA","AUD"
"Arcade Branch Strip Mall","Entertainment & Recreation","INDIA","INR"
"Mortgage - USA Station","Financial Services","USA","USD"
"Culver's #6484 - INDIA","Food & Dining","INDIA","INR"
"Amazon #4757 Station","Shopping & Retail","CANADA","CAD"
"Community Center #2416","Charity & Donations","INDIA","INR"
"Online Bank #7026 Online Strip Mall","Financial Services","UK","GBP"
"Belk - USA Center","Shopping & Retail","USA","USD"
"Urgent Care #8655","Healthcare & Medical","INDIA","INR"
"Hulu Branch - Holiday","Entertainment & Recreation","UK","GBP"
"Saks Off 5th TXN895209","Shopping & Retail","AUSTRALIA","AUD"
"Trampoline Park","Entertainment & Recreation","CANADA","CAD"
"Turo - Morning","Transportation","CANADA","CAD"
"Walmart Supercenter Store","Food & Dining","INDIA","INR"
"Kroger Pharmacy - Holiday","Healthcare & Medical","UK","GBP"
"Starbucks","Food & Dining","USA","USD"
"Salary #9920 - USA","Income","USA","USD"
"Mini Golf TXN745561","Entertainment & Recreation","CANADA","CAD"
"Clinic - AUSTRALIA - Dinner Time","Healthcare & Medical","AUSTRALIA","AUD"
"Nordstrom - CANADA","Shopping & Retail","CANADA","CAD"
"Primary Care #5440 - UK","Healthcare & Medical","UK","GBP"
"Urgent Care Store - Evening","Healthcare & Medical","UK","GBP"
"Windstream","Utilities & Services","INDIA","INR"
"Mini Golf TXN672682","Entertainment & Recreation","CANADA","CAD"
"Religious Organization Store","Charity & Donations","CANADA","CAD"
"Concert #3893","Entertainment & Recreation","USA","USD"
"Bus - Weekend","Transportation","USA","USD"
"LA Fitness #8008 - UK TXN698498","Entertainment & Recreation","UK","GBP"
"Water Company #3507 Store Online - Rush Hour","Utilities & Services","INDIA","INR"
"Maternity Leave","Income","UK","GBP"
"Specialist - Weekend","Healthcare & Medical","INDIA","INR"
"BoltBus (ACH)","Transportation","INDIA","INR"
"Digital Bank - CANADA Branch Business District","Financial Services","CANADA","CAD"
"Refund Online","Income","USA","USD"
"Church #8066 - Afternoon","Charity & Donations","AUSTRALIA","AUD"
"Highway Patrol #3766 - USA","Government & Legal","USA","USD"
"Google Fiber Online","Utilities & Services","UK","GBP"
"NGO","Charity & Donations","INDIA","INR"
"Investment","Financial Services","AUSTRALIA","AUD"
"Zaxby's Residential","Food & Dining","INDIA","INR"
"Macy's #7788 Center","Shopping & Retail","USA","USD"
"Hospital #2375","Healthcare & Medical","CANADA","CAD"
"Cedars-Sinai - CANADA Store","Healthcare & Medical","CANADA","CAD"
"Bank #1868","Financial Services","UK","GBP"
"Cinema Store - Lunch Time","Entertainment & Recreation","INDIA","INR"
"Highway Patrol #1438","Government & Legal","UK","GBP"
"Apple Store - USA","Shopping & Retail","USA","USD"
"Community Bank Branch","Financial Services","INDIA","INR"
"Town Hall - Evening","Government & Legal","UK","GBP"
"SEPTA TXN854933","Transportation","USA","USD"
"Jersey Mike's Online Mall","Food & Dining","AUSTRALIA","AUD"
"Bookkeeping","Financial Services","AUSTRALIA","AUD"
"Rite Aid #3360","Healthcare & Medical","CANADA","CAD"
"Office Depot (Digital Wallet)","Shopping & Retail","AUSTRALIA","AUD"
"Barneys New York Store - Morning","Shopping & Retail","UK","GBP"
"Post Office #2640 Online Branch","Government & Legal","USA","USD"
"Payroll #9165","Income","AUSTRALIA","AUD"
"Local Food Bank Airport","Charity & Donations","USA","USD"
"Royalty","Income","AUSTRALIA","AUD"
"Greyhound","Transportation","UK","GBP"
"Lord & Taylor","Shopping & Retail","CANADA","CAD"
"CTA","Transportation","USA","USD"
"Target","Shopping & Retail","USA","USD"
"Overtime #8850","Income","INDIA","INR"
"GameStop","Shopping & Retail","USA","USD"
"Emergency Services Store Online","Government & Legal","UK","GBP"
"MTA #8484 Business District","Transportation","INDIA","INR"
"MRI Mall","Healthcare & Medical","INDIA","INR"
"National Parks - Holiday","Charity & Donations","USA","USD"
"Local Food Bank","Charity & Donations","UK","GBP"
"Getaround","Transportation","AUSTRALIA","AUD"
"Sprint #1224","Utilities & Services","CANADA","CAD"
"Tim Hortons #4570","Food & Dining","USA","USD"
"Rite Aid #9756 Store","Healthcare & Medical","INDIA","INR"
"TSA Center","Government & Legal","INDIA","INR"
"Fire Department #1889","Government & Legal","AUSTRALIA","AUD"
"Payroll - USA","Income","USA","USD"
"Zipcar - UK Store Station","Transportation","UK","GBP"
"Burlington - Lunch Time","Shopping & Retail","USA","USD"
"Salvation Army #3510 - AUSTRALIA Downtown","Charity & Donations","AUSTRALIA","AUD"
"BP Hospital","Transportation","USA","USD"
"NYU Langone","Healthcare & Medical","INDIA","INR"
"Refund","Income","UK","GBP"
"Walk-in Clinic - UK","Healthcare & Medical","UK","GBP"
"WiFi Center","Utilities & Services","UK","GBP"
"Trader Joe's","Food & Dining","USA","USD"
"NYU Langone","Healthcare & Medical","UK","GBP"
"WMATA #8932","Transportation","INDIA","INR"
"Physical Therapy #2018 - UK - Morning","Healthcare & Medical","UK","GBP"
"Psychiatrist - CANADA Strip Mall","Healthcare & Medical","CANADA","CAD"
"Reward","Income","INDIA","INR"
"Gynecologist - Rush Hour","Healthcare & Medical","AUSTRALIA","AUD"
"Bonus","Income","UK","GBP"
"Toll Hospital","Transportation","AUSTRALIA","AUD"
"IRS #8818 Downtown","Government & Legal","INDIA","INR"
"Panera Bread - Night","Food & Dining","CANADA","CAD"
"Urologist #7086 - UK","Healthcare & Medical","UK","GBP"
"Hertz #4273 Online","Transportation","CANADA","CAD"
"Exxon","Transportation","USA","USD"
"AT&T (Cash)","Utilities & Services","CANADA","CAD"
"Walmart Supercenter #2937","Food & Dining","INDIA","INR"
"Comerica - AUSTRALIA - Dinner Time","Financial Services","AUSTRALIA","AUD"
"Immigration #3734","Government & Legal","USA","USD"
"Big Lots","Shopping & Retail","INDIA","INR"
"Water Park","Entertainment & Recreation","CANADA","CAD"
"Freelance Store - Dinner Time","Income","UK","GBP"
"Highway Patrol","Government & Legal","CANADA","CAD"
"Wells Fargo #9724","Financial Services","CANADA","CAD"
"Carnival Station","Entertainment & Recreation","UK","GBP"
"Rally's TXN866095","Food & Dining","UK","GBP"
"Walk-in Clinic (Card)","Healthcare & Medical","UK","GBP"
"Lab","Healthcare & Medical","CANADA","CAD"
"HSBC","Financial Services","INDIA","INR"
"Business WiFi #9977 Store Strip Mall","Utilities & Services","USA","USD"
"Occupational Therapy","Healthcare & Medical","USA","USD"
"Macy's - INDIA","Shopping & Retail","INDIA","INR"
"McDonald's - INDIA (Contactless)","Food & Dining","INDIA","INR"
"Children's Hospital","Healthcare & Medical","USA","USD"
"Water Company - AUSTRALIA","Utilities & Services","AUSTRALIA","AUD"
"Gig Work - INDIA Business District","Income","INDIA","INR"
"Frontier #1911","Utilities & Services","AUSTRALIA","AUD"
"Doctors Without Borders Store","Charity & Donations","INDIA","INR"
"Maternity Leave","Income","INDIA","INR"
"Religious Organization #2237 - CANADA Store (Digital Wallet)","Charity & Donations","CANADA","CAD"
"Kickstarter #3114 Business District","Charity & Donations","USA","USD"
"Gig Work Mall","Income","AUSTRALIA","AUD"
"Digital Bank #1273 - CANADA","Financial Services","CANADA","CAD"
"Blimpie TXN265532","Food & Dining","USA","USD"
"Youth Organization #2206 Store Online","Charity & Donations","AUSTRALIA","AUD"
"Payroll - AUSTRALIA","Income","AUSTRALIA","AUD"
"Franchise","Income","USA","USD"
"T-Mobile Store Online","Utilities & Services","INDIA","INR"
"Cashback #7345","Income","INDIA","INR"
"Home Depot #3519 Store","Shopping & Retail","USA","USD"
"Paternity Leave #1130","Income","CANADA","CAD"
"Train Online Campus","Transportation","USA","USD"
"Apple Store - CANADA","Shopping & Retail","CANADA","CAD"
"Big Lots","Shopping & Retail","AUSTRALIA","AUD"
"Offering #7457","Charity & Donations","UK","GBP"
"Post Office Center - Weekday","Government & Legal","USA","USD"
"SPCA - AUSTRALIA Store","Charity & Donations","AUSTRALIA","AUD"
"Tax Preparation Store Downtown","Financial Services","INDIA","INR"
"Toll","Transportation","USA","USD"
"Frontier #7736 Store","Utilities & Services","USA","USD"
"SoulCycle #8305 Store","Entertainment & Recreation","INDIA","INR"
"Consulting Hospital","Income","CANADA","CAD"
"Fundraising","Charity & Donations","USA","USD"
"Sixt","Transportation","CANADA","CAD"
"Costco Branch - Weekday","Shopping & Retail","CANADA","CAD"
"Regal #3728 Store Station","Entertainment & Recreation","INDIA","INR"
"Netflix #4805 Campus","Entertainment & Recreation","INDIA","INR"
"Cox - CANADA","Utilities & Services","CANADA","CAD"
"Medicaid #9744 - Lunch Time","Government & Legal","USA","USD"
"Potbelly Online Mall","Food & Dining","AUSTRALIA","AUD"
"National Online Center Residential","Transportation","CANADA","CAD"
"RCN #6359 Branch","Utilities & Services","INDIA","INR"
"Parking","Transportation","AUSTRALIA","AUD"
"Comcast #3575 Store","Utilities & Services","UK","GBP"
"Fifth Third Downtown","Financial Services","USA","USD"
"Emergency Room #6878 Store Downtown","Healthcare & Medical","UK","GBP"
"World Vision #3511 Online TXN234212","Charity & Donations","INDIA","INR"
"Mosque Online","Charity & Donations","INDIA","INR"
"ATF","Government & Legal","INDIA","INR"
"Physical Therapy","Healthcare & Medical","UK","GBP"
"Congress","Government & Legal","INDIA","INR"
"Starbucks","Food & Dining","INDIA","INR"
"Zipcar #2993 Store TXN785542","Transportation","USA","USD"
"Border Patrol","Government & Legal","USA","USD"
"Ski Resort - AUSTRALIA","Entertainment & Recreation","AUSTRALIA","AUD"
"Bloomingdale's Store - Morning","Shopping & Retail","USA","USD"
"Interest - INDIA Store","Income","INDIA","INR"
"Pension #9158 - AUSTRALIA Store Airport","Income","AUSTRALIA","AUD"
"HSBC Strip Mall","Financial Services","UK","GBP"
"Social Security #9579 Store (Online)","Income","INDIA","INR"
"Royalty - Dinner Time","Income","UK","GBP"
"MRI - UK","Healthcare & Medical","UK","GBP"
"TD Bank Online","Financial Services","CANADA","CAD"
"Rally's #9595 - UK Center (Online)","Food & Dining","UK","GBP"
"Salary","Income","AUSTRALIA","AUD"
"Viasat - CANADA Store","Utilities & Services","CANADA","CAD"
"Offering","Charity & Donations","UK","GBP"
"Habitat for Humanity Store (App)","Charity & Donations","CANADA","CAD"
"Social Security - AUSTRALIA","Income","AUSTRALIA","AUD"
"eBay Store (Bank Transfer)","Shopping & Retail","INDIA","INR"
"Refund Store","Income","INDIA","INR"
"Licensing #3423","Income","USA","USD"
"Oxfam #3319 Branch - Weekend","Charity & Donations","UK","GBP"
"Mutual Fund Store","Financial Services","INDIA","INR"
"Local Church Store Campus","Charity & Donations","USA","USD"
"Humane Society #9007 Center","Charity & Donations","UK","GBP"
"Unemployment","Income","USA","USD"
"Clinic Center TXN180453","Healthcare & Medical","UK","GBP"
"Laser Tag (Cash)","Entertainment & Recreation","UK","GBP"
"Budget #2177 - CANADA TXN727326","Transportation","CANADA","CAD"
"Fitness TXN609500","Entertainment & Recreation","INDIA","INR"
"Go-Kart Store Branch","Entertainment & Recreation","USA","USD"
"EMS (Cash)","Government & Legal","UK","GBP"
"Lord & Taylor Online","Shopping & Retail","USA","USD"
"Amazon Prime #1308 - UK Online","Entertainment & Recreation","UK","GBP"
"Medicaid Store Center","Government & Legal","USA","USD"
"Southwest Airlines (Cash)","Transportation","UK","GBP"
"Sick Pay","Income","USA","USD"
"Nike - INDIA Branch","Shopping & Retail","INDIA","INR"
"Escape Room #3036","Entertainment & Recreation","UK","GBP"
"Starlink","Utilities & Services","INDIA","INR"
"Target Store","Food & Dining","USA","USD"
"Specialist #3096 Store","Healthcare & Medical","USA","USD"
"Salary","Income","INDIA","INR"
"Reimbursement TXN376327","Income","USA","USD"
"Carl's Jr","Food & Dining","CANADA","CAD"
"Fifth Third","Financial Services","USA","USD"
"Tim Hortons - UK Store TXN928398","Food & Dining","UK","GBP"
"Kickstarter #1990 - AUSTRALIA Store","Charity & Donations","AUSTRALIA","AUD"
"Senate #5506","Government & Legal","AUSTRALIA","AUD"
"Licensing - Dinner Time","Income","UK","GBP"
"Go-Kart #5199 Airport","Entertainment & Recreation","INDIA","INR"
"Urologist - INDIA - Night","Healthcare & Medical","INDIA","INR"
"Olive Garden - CANADA Store Online","Food & Dining","CANADA","CAD"
"Financial Advisor","Financial Services","AUSTRALIA","AUD"
"Community Bank TXN162351","Financial Services","USA","USD"
"Holiday Pay","Income","UK","GBP"
"State Police Online","Government & Legal","CANADA","CAD"
"McDonald's Store","Food & Dining","USA","USD"
"Pension #7305","Income","AUSTRALIA","AUD"
"Freelance - AUSTRALIA Online Mall","Income","AUSTRALIA","AUD"
"CVS - USA Center","Healthcare & Medical","USA","USD"
"Alamo Online","Transportation","AUSTRALIA","AUD"
"Amnesty International","Charity & Donations","UK","GBP"
"Water Park","Entertainment & Recreation","CANADA","CAD"
"Pediatrician","Healthcare & Medical","CANADA","CAD"
"Stock Online","Financial Services","INDIA","INR"
"DSL Store - Rush Hour","Utilities & Services","UK","GBP"
"Safeway #1560 - UK - Night","Food & Dining","UK","GBP"
"First National #9231 (Online)","Financial Services","AUSTRALIA","AUD"
"Digital Bank","Financial Services","UK","GBP"
"GameStop Online","Shopping & Retail","UK","GBP"
"Exxon - Lunch Time","Transportation","INDIA","INR"
"WiFi Hotspot Online","Utilities & Services","CANADA","CAD"
"WiFi - AUSTRALIA - Morning","Utilities & Services","AUSTRALIA","AUD"
"Licensing #5054 Store","Income","INDIA","INR"
"Regal","Entertainment & Recreation","UK","GBP"
"Zara Branch - Night","Shopping & Retail","USA","USD"
"OfficeMax - Lunch Time","Shopping & Retail","CANADA","CAD"
"Customs","Government & Legal","CANADA","CAD"
"Moe's Southwest Grill - USA","Food & Dining","USA","USD"
"Spotify","Entertainment & Recreation","UK","GBP"
"Bonus #3512","Income","USA","USD"
"Salary #3738 Online TXN469802","Income","CANADA","CAD"
"GoFundMe - USA Hospital","Charity & Donations","USA","USD"
"Lord & Taylor #3290","Shopping & Retail","AUSTRALIA","AUD"
"Budget #8018","Transportation","INDIA","INR"
"Bloomingdale's #2750 Store Branch","Shopping & Retail","AUSTRALIA","AUD"
"OfficeMax #3727 Online","Shopping & Retail","CANADA","CAD"
"eBay #8678 TXN505031","Shopping & Retail","UK","GBP"
"Mortgage Store - Afternoon","Financial Services","CANADA","CAD"
"Pediatrician - INDIA","Healthcare & Medical","INDIA","INR"
"Family Dollar - Dinner Time","Shopping & Retail","USA","USD"
"FlixBus #9660 - INDIA Store TXN796964","Transportation","INDIA","INR"
"Firehouse Subs #6315 Online Branch - Weekend","Food & Dining","UK","GBP"
"Brokerage","Financial Services","UK","GBP"
"Refund #8706 - Weekday","Income","USA","USD"
"Taco Bell - USA Store Airport","Food & Dining","USA","USD"
"DirecTV #1631","Utilities & Services","CANADA","CAD"
"Ambulance - Night","Government & Legal","CANADA","CAD"
"Spectrum #8876 - Dinner Time","Utilities & Services","USA","USD"
"Disney+ Online - Afternoon","Entertainment & Recreation","AUSTRALIA","AUD"
"Reimbursement - CANADA","Income","CANADA","CAD"
"Apple Store #4045","Shopping & Retail","UK","GBP"
"Offering #3969","Charity & Donations","AUSTRALIA","AUD"
"Baskin-Robbins #8337 Online","Food & Dining","USA","USD"
"Paternity Leave #4533","Income","UK","GBP"
"Whole Foods Downtown","Food & Dining","UK","GBP"
"Potbelly Store Hospital","Food & Dining","INDIA","INR"
"Water Company #8834 - Lunch Time","Utilities & Services","USA","USD"
"Rental Income #1277","Income","USA","USD"
"Passport TXN264893","Government & Legal","INDIA","INR"
"Consolidated Communications #4812 - INDIA","Utilities & Services","INDIA","INR"
"Chevron Store TXN107073","Transportation","INDIA","INR"
"World Vision - AUSTRALIA","Charity & Donations","AUSTRALIA","AUD"
"Anytime Fitness","Entertainment & Recreation","AUSTRALIA","AUD"
"Exxon (Digital Wallet)","Transportation","USA","USD"
"Comerica Online TXN247818","Financial Services","AUSTRALIA","AUD"
"Zoo","Entertainment & Recreation","UK","GBP"
"Google Fiber","Utilities & Services","CANADA","CAD"
"Credit Union","Financial Services","CANADA","CAD"
"Financial Advisor TXN807910","Financial Services","CANADA","CAD"
"Verizon Store - Holiday","Utilities & Services","CANADA","CAD"
"Laser Tag #2041 - INDIA","Entertainment & Recreation","INDIA","INR"
"Religious Organization #4061 - UK","Charity & Donations","UK","GBP"
"Stock #2607","Financial Services","INDIA","INR"
"Pure Barre #5860","Entertainment & Recreation","INDIA","INR"
"Neiman Marcus #6673 Store","Shopping & Retail","INDIA","INR"
"Zipcar","Transportation","UK","GBP"
"Part-time","Income","INDIA","INR"
"Sick Pay Store","Income","AUSTRALIA","AUD"
"Starlink #7507","Utilities & Services","CANADA","CAD"
"Kickstarter - USA","Charity & Donations","USA","USD"
"Saks Off 5th","Shopping & Retail","CANADA","CAD"
"Taxi #8947 - Afternoon","Transportation","USA","USD"
"Broadband - UK (Bank Transfer)","Utilities & Services","UK","GBP"
"TJ Maxx","Shopping & Retail","INDIA","INR"
"Dermatologist TXN166962","Healthcare & Medical","UK","GBP"
"Vacation Pay","Income","AUSTRALIA","AUD"
"State Police - CANADA Store","Government & Legal","CANADA","CAD"
"Mosque #1586 Online","Charity & Donations","CANADA","CAD"
"Investment Branch","Financial Services","USA","USD"
"Festival - USA TXN161632","Entertainment & Recreation","USA","USD"
"Loan - Weekend","Financial Services","UK","GBP"
"Jimmy John's #4825","Food & Dining","UK","GBP"
"Kickstarter (Online)","Charity & Donations","USA","USD"
"IRS Online Branch TXN586018","Government & Legal","INDIA","INR"
"Bookkeeping #6539 - CANADA Center TXN378900","Financial Services","CANADA","CAD"
"Hardee's Center","Food & Dining","AUSTRALIA","AUD"
"Deposit - Holiday","Income","AUSTRALIA","AUD"
"Walmart Store Hospital","Shopping & Retail","UK","GBP"
"Apple Store","Shopping & Retail","CANADA","CAD"
"TD Bank - Weekday","Financial Services","UK","GBP"
"Hawaiian Airlines Branch (Cash)","Transportation","AUSTRALIA","AUD"
"Swimming Pool #1616 - AUSTRALIA Online Center","Entertainment & Recreation","AUSTRALIA","AUD"
"Uniqlo Store","Shopping & Retail","CANADA","CAD"
"BMO Harris Branch","Financial Services","AUSTRALIA","AUD"
"Family Dollar","Shopping & Retail","UK","GBP"
"Neiman Marcus","Shopping & Retail","AUSTRALIA","AUD"
"Best Buy - Holiday","Shopping & Retail","USA","USD"
"Walgreens Online","Shopping & Retail","USA","USD"
"Consolidated Communications","Utilities & Services","UK","GBP"
"American Airlines Store","Transportation","CANADA","CAD"
"Dividend","Income","AUSTRALIA","AUD"
"United Way - AUSTRALIA (Contactless)","Charity & Donations","AUSTRALIA","AUD"
"Fiber - INDIA Store (Contactless)","Utilities & Services","INDIA","INR"
"Fundraising #8965 Hospital","Charity & Donations","CANADA","CAD"
"SunTrust #9502 Store Online Center","Financial Services","USA","USD"
"DSL - CANADA Store","Utilities & Services","CANADA","CAD"
"US Bank #3861 - AUSTRALIA Branch","Financial Services","AUSTRALIA","AUD"
"Raising Cane's","Food & Dining","UK","GBP"
"Homeless Shelter #2381","Charity & Donations","UK","GBP"
"Walmart #4641 Branch","Shopping & Retail","INDIA","INR"
"National #5723 - Weekend","Transportation","USA","USD"
"Car2Go - INDIA Online","Transportation","INDIA","INR"
"First National Online - Morning","Financial Services","USA","USD"
